Genus,Species name ,Family,Phyllum,No. of individual ,Nutrition type,Growth pattern,Substrate,Use,Long term plot (y/n),Months active,Year,Date,Plot name,Longitude,Latitude,Site,Forest type,Dominant tree,Dominant tree,Dominant tree,Land Cover Type
Agaricus,rotalis,Agaricaceae,Basidiomycota,1,NM,grouped,soil,Unknown,Y,July-September,2013,2013-07-08,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Agaricus,sp. 3,Agaricaceae,Basidiomycota,1,NM,solitary,soil,Unknown,Y,July-September,2014,2014-09-02,ZMF,99.29265,25.248983,Baoshan,Type 6,No,No,No,
Agaricus,sp. 3,Agaricaceae,Basidiomycota,1,NM,solitary,soil,Unknown,Y,July-September,2013,2013-07-31,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Albatrellus,ellisii,Albatrellaceae,Basidiomycota,1,ECM,solitary,soil,Unknown,Y,July-September,2014,2014-09-07,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,flavoconia,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-25,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,flavoconia,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-07,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,flavoconia,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-15,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,flavoconia,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-22,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,excela,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-20,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,excela,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-25,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
