Genus,Species name ,Family,Phyllum,Nutrition type,Growth pattern,Substrate,Use,Date,Longitude,Latitude,Site
Agaricus,rotalis,Agaricaceae,Basidiomycota,NM,grouped,soil,unknown,2013-07-08,99.300283,25.265783,Baoshan
Agaricus,sp. 3,Agaricaceae,Basidiomycota,NM,solitary,soil,unknown,2014-09-02,99.29265,25.248983,Baoshan
Agaricus,sp. 3,Agaricaceae,Basidiomycota,NM,solitary,soil,unknown,2013-07-31,99.30505,25.267117,Baoshan
Albatrellus,ellisii,Albatrellaceae,Basidiomycota,ECM,solitary,soil,unknown,2014-09-07,99.303533,25.27325,Baoshan
Amanita,flavoconia,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.303533,25.27325,Baoshan
Amanita,flavoconia,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-07,99.303533,25.27325,Baoshan
Amanita,flavoconia,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-15,99.303533,25.27325,Baoshan
Amanita,flavoconia,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-22,99.30385,25.27335,Baoshan
Amanita,excela,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-20,99.30505,25.267117,Baoshan
Amanita,excela,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.30385,25.27335,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-15,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-02,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-09-17,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-06,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-11,99.30505,25.267117,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-25,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-08-30,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-09-04,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-09-09,99.29265,25.248983,Baoshan
Amanita,fritillaria,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-09-19,99.29265,25.248983,Baoshan
Amanita,hemibapha,Amanitaceae,Basidiomycota,ECM,solitary,soil,edible,2014-08-26,99.30505,25.267117,Baoshan
Amanita,hemibapha,Amanitaceae,Basidiomycota,ECM,scattered,soil,edible,2013-07-27,99.300283,25.265783,Baoshan
Amanita,hemibapha,Amanitaceae,Basidiomycota,ECM,solitary,soil,edible,2013-08-07,99.300283,25.265783,Baoshan
Amanita,hemibapha,Amanitaceae,Basidiomycota,ECM,solitary,soil,edible,2013-08-21,99.300283,25.265783,Baoshan
Amanita,hemibapha var. ochracea,Amanitaceae,Basidiomycota,ECM,scattered,soil,edible,2014-08-14,99.30505,25.267117,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-07-15,99.29265,25.248983,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-13,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-14,99.300283,25.265783,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-08-21,99.300283,25.265783,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.29265,25.248983,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-27,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-01,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-09-01,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-09,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-09-17,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-09-24,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-29,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-10-01,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-10-01,99.299017,25.27535,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-10-04,99.299017,25.27535,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-10-04,99.299017,25.27535,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,grouped,soil,edible,2013-07-11,99.30505,25.267117,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-07-14,99.29265,25.248983,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-07-25,99.291817,25.251467,Baoshan
Amanita,ovalispora,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-31,99.299017,25.27535,Baoshan
Amanita,pachycolea,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-13,99.299017,25.27535,Baoshan
Amanita,pachycolea,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-18,99.299017,25.27535,Baoshan
Amanita,pachycolea,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.299017,25.27535,Baoshan
Amanita,pachycolea,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-24,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-08-20,99.293367,25.255817,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-01,99.299017,25.27535,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-07,99.30385,25.27335,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-07-20,99.303533,25.27325,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-08-13,99.299017,25.27535,Baoshan
